-299.796417,-322.300812,-207.604752;-358.713196,-322.300812,-204.507248;-358.713196,-377.083038,-201.338638;-299.796417,-377.083038,-204.507248;-300.95343,-323.545105,-229.361618;-359.870209,-323.545105,-226.264145;-359.870209,-378.327332,-223.095505;-300.95343,-378.327332,-226.264145;-299.796417,-322.300812,-207.604752;-358.713196,-322.300812,-204.507248;-358.713196,-322.300812,-204.507248;-358.713196,-377.083038,-201.338638;-358.713196,-377.083038,-201.338638;-299.796417,-377.083038,-204.507248;-299.796417,-377.083038,-204.507248;-299.796417,-322.300812,-207.604752;
-299.796417,-267.518555,-216.358444;-358.713196,-267.518555,-213.462112;-358.713196,-322.300812,-204.507248;-299.796417,-322.300812,-207.604752;-300.8909,-270.996155,-237.874893;-359.807678,-270.996155,-234.978561;-359.807678,-325.778442,-226.023727;-300.8909,-325.778442,-229.121201;-299.796417,-267.518555,-216.358444;-358.713196,-267.518555,-213.462112;-358.713196,-267.518555,-213.462112;-358.713196,-322.300812,-204.507248;-358.713196,-322.300812,-204.507248;-299.796417,-322.300812,-207.604752;-299.796417,-322.300812,-207.604752;-299.796417,-267.518555,-216.358444;
-299.796417,-212.736282,-229.960373;-358.713196,-212.736282,-227.376572;-358.713196,-267.518555,-213.462112;-299.796417,-267.518555,-216.358444;-300.779785,-218.046524,-251.104691;-359.696564,-218.046524,-248.520889;-359.696564,-272.828796,-234.60643;-300.779785,-272.828796,-237.502777;-299.796417,-212.736282,-229.960373;-358.713196,-212.736282,-227.376572;-358.713196,-212.736282,-227.376572;-358.713196,-267.518555,-213.462112;-358.713196,-267.518555,-213.462112;-299.796417,-267.518555,-216.358444;-299.796417,-267.518555,-216.358444;-299.796417,-212.736282,-229.960373;
-299.796417,-157.954025,-247.602432;-358.713196,-157.954025,-245.424011;-358.713196,-212.736282,-227.376572;-299.796417,-212.736282,-229.960373;-300.634399,-164.708145,-268.337189;-359.551178,-164.708145,-266.158752;-359.551178,-219.490402,-248.111282;-300.634399,-219.490402,-250.695084;-299.796417,-157.954025,-247.602432;-358.713196,-157.954025,-245.424011;-358.713196,-157.954025,-245.424011;-358.713196,-212.736282,-227.376572;-358.713196,-212.736282,-227.376572;-299.796417,-212.736282,-229.960373;-299.796417,-212.736282,-229.960373;-299.796417,-157.954025,-247.602432;
-299.796417,-103.171761,-268.476685;-358.713196,-103.171761,-266.777863;-358.713196,-157.954025,-245.424011;-299.796417,-157.954025,-247.602432;-300.466156,-111.01635,-288.830139;-359.382935,-111.01635,-287.131317;-359.382935,-165.798599,-265.777466;-300.466156,-165.798599,-267.955902;-299.796417,-103.171761,-268.476685;-358.713196,-103.171761,-266.777863;-358.713196,-103.171761,-266.777863;-358.713196,-157.954025,-245.424011;-358.713196,-157.954025,-245.424011;-299.796417,-157.954025,-247.602432;-299.796417,-157.954025,-247.602432;-299.796417,-103.171761,-268.476685;
-299.796417,-48.389503,-291.774994;-358.713196,-48.389503,-290.611511;-358.713196,-103.171761,-266.777863;-299.796417,-103.171761,-268.476685;-300.283264,-57.01107,-311.816956;-359.200043,-57.01107,-310.653503;-359.200043,-111.793327,-286.819794;-300.283264,-111.793327,-288.518616;-299.796417,-48.389503,-291.774994;-358.713196,-48.389503,-290.611511;-358.713196,-48.389503,-290.611511;-358.713196,-103.171761,-266.777863;-358.713196,-103.171761,-266.777863;-299.796417,-103.171761,-268.476685;-299.796417,-103.171761,-268.476685;-299.796417,-48.389503,-291.774994;
-299.796417,61.175022,-342.411804;-358.713196,61.175022,-342.411804;-358.713196,-48.389503,-290.611511;-299.796417,-48.389503,-291.774994;-299.991608,51.933609,-362.180664;-358.908386,51.933609,-362.180664;-358.908386,-57.630928,-310.380371;-299.991608,-57.630928,-311.543854;-299.796417,61.175022,-342.411804;-358.713196,61.175022,-342.411804;-358.713196,61.175022,-342.411804;-358.713196,-48.389503,-290.611511;-358.713196,-48.389503,-290.611511;-299.796417,-48.389503,-291.774994;-299.796417,-48.389503,-291.774994;-299.796417,61.175022,-342.411804;
-299.796417,170.739548,-393.048615;-358.713196,170.739548,-394.212097;-358.713196,61.175022,-342.411804;-299.796417,61.175022,-342.411804;-299.601227,161.498123,-412.817474;-358.518005,161.498123,-413.980957;-358.518005,51.933605,-362.180664;-299.601227,51.933605,-362.180664;-299.796417,170.739548,-393.048615;-358.713196,170.739548,-394.212097;-358.713196,170.739548,-394.212097;-358.713196,61.175022,-342.411804;-358.713196,61.175022,-342.411804;-299.796417,61.175022,-342.411804;-299.796417,61.175022,-342.411804;-299.796417,170.739548,-393.048615;
-299.796417,225.52179,-416.346954;-358.713196,225.52179,-418.045776;-358.713196,170.739548,-394.212097;-299.796417,170.739548,-393.048615;-299.309601,216.900223,-436.388916;-358.226379,216.900223,-438.087738;-358.226379,162.117981,-414.254059;-299.309601,162.117981,-413.090576;-299.796417,225.52179,-416.346954;-358.713196,225.52179,-418.045776;-358.713196,225.52179,-418.045776;-358.713196,170.739548,-394.212097;-358.713196,170.739548,-394.212097;-299.796417,170.739548,-393.048615;-299.796417,170.739548,-393.048615;-299.796417,225.52179,-416.346954;
-299.796417,280.304077,-437.221161;-358.713196,280.304077,-439.399597;-358.713196,225.52179,-418.045776;-299.796417,225.52179,-416.346954;-299.126709,272.459503,-457.574615;-358.043488,272.459503,-459.753052;-358.043488,217.677216,-438.3992;-299.126709,217.677216,-436.700409;-299.796417,280.304077,-437.221161;-358.713196,280.304077,-439.399597;-358.713196,280.304077,-439.399597;-358.713196,225.52179,-418.045776;-358.713196,225.52179,-418.045776;-299.796417,225.52179,-416.346954;-299.796417,225.52179,-416.346954;-299.796417,280.304077,-437.221161;
