553.278687,-5.466493,-131.961609;553.278687,-57.854385,-131.961609;538.003418,-5.466493,-122.492706;538.003418,-57.854385,-122.492706;538.003418,-5.466493,-122.492706;538.003418,-57.854385,-122.492706;522.728149,-5.466493,-131.961609;522.728149,-57.854385,-131.961609;522.728149,-5.466493,-131.961609;522.728149,-57.854385,-131.961609;553.278687,-5.466493,-131.961609;553.278687,-57.854385,-131.961609;553.278687,-5.466493,-131.961609;538.003418,-5.466493,-122.492706;522.728149,-5.466493,-131.961609;553.278687,-57.854385,-131.961609;538.003418,-57.854385,-122.492706;522.728149,-57.854385,-131.961609;
592.747437,-5.466493,-131.961609;592.747437,-57.854385,-131.961609;577.472107,-5.466493,-122.492706;577.472107,-57.854385,-122.492706;577.472107,-5.466493,-122.492706;577.472107,-57.854385,-122.492706;562.196838,-5.466493,-131.961609;562.196838,-57.854385,-131.961609;562.196838,-5.466493,-131.961609;562.196838,-57.854385,-131.961609;592.747437,-5.466493,-131.961609;592.747437,-57.854385,-131.961609;592.747437,-5.466493,-131.961609;577.472107,-5.466493,-122.492706;562.196838,-5.466493,-131.961609;592.747437,-57.854385,-131.961609;577.472107,-57.854385,-122.492706;562.196838,-57.854385,-131.961609;
632.216125,-5.466493,-131.961609;632.216125,-57.854385,-131.961609;616.940796,-5.466493,-122.492706;616.940796,-57.854385,-122.492706;616.940796,-5.466493,-122.492706;616.940796,-57.854385,-122.492706;601.665527,-5.466493,-131.961609;601.665527,-57.854385,-131.961609;601.665527,-5.466493,-131.961609;601.665527,-57.854385,-131.961609;632.216125,-5.466493,-131.961609;632.216125,-57.854385,-131.961609;632.216125,-5.466493,-131.961609;616.940796,-5.466493,-122.492706;601.665527,-5.466493,-131.961609;632.216125,-57.854385,-131.961609;616.940796,-57.854385,-122.492706;601.665527,-57.854385,-131.961609;
671.684814,-5.466493,-131.961609;671.684814,-57.854385,-131.961609;656.409546,-5.466493,-122.492706;656.409546,-57.854385,-122.492706;656.409546,-5.466493,-122.492706;656.409546,-57.854385,-122.492706;641.134277,-5.466493,-131.961609;641.134277,-57.854385,-131.961609;641.134277,-5.466493,-131.961609;641.134277,-57.854385,-131.961609;671.684814,-5.466493,-131.961609;671.684814,-57.854385,-131.961609;671.684814,-5.466493,-131.961609;656.409546,-5.466493,-122.492706;641.134277,-5.466493,-131.961609;671.684814,-57.854385,-131.961609;656.409546,-57.854385,-122.492706;641.134277,-57.854385,-131.961609;
553.278687,62.019875,-131.961609;553.278687,9.63198,-131.961609;538.003418,62.019875,-122.492706;538.003418,9.63198,-122.492706;538.003418,62.019875,-122.492706;538.003418,9.63198,-122.492706;522.728149,62.019875,-131.961609;522.728149,9.63198,-131.961609;522.728149,62.019875,-131.961609;522.728149,9.63198,-131.961609;553.278687,62.019875,-131.961609;553.278687,9.63198,-131.961609;553.278687,62.019875,-131.961609;538.003418,62.019875,-122.492706;522.728149,62.019875,-131.961609;553.278687,9.63198,-131.961609;538.003418,9.63198,-122.492706;522.728149,9.63198,-131.961609;
592.747437,62.019875,-131.961609;592.747437,9.63198,-131.961609;577.472107,62.019875,-122.492706;577.472107,9.63198,-122.492706;577.472107,62.019875,-122.492706;577.472107,9.63198,-122.492706;562.196838,62.019875,-131.961609;562.196838,9.63198,-131.961609;562.196838,62.019875,-131.961609;562.196838,9.63198,-131.961609;592.747437,62.019875,-131.961609;592.747437,9.63198,-131.961609;592.747437,62.019875,-131.961609;577.472107,62.019875,-122.492706;562.196838,62.019875,-131.961609;592.747437,9.63198,-131.961609;577.472107,9.63198,-122.492706;562.196838,9.63198,-131.961609;
632.216125,62.019875,-131.961609;632.216125,9.63198,-131.961609;616.940796,62.019875,-122.492706;616.940796,9.63198,-122.492706;616.940796,62.019875,-122.492706;616.940796,9.63198,-122.492706;601.665527,62.019875,-131.961609;601.665527,9.63198,-131.961609;601.665527,62.019875,-131.961609;601.665527,9.63198,-131.961609;632.216125,62.019875,-131.961609;632.216125,9.63198,-131.961609;632.216125,62.019875,-131.961609;616.940796,62.019875,-122.492706;601.665527,62.019875,-131.961609;632.216125,9.63198,-131.961609;616.940796,9.63198,-122.492706;601.665527,9.63198,-131.961609;
671.684814,62.019875,-131.961609;671.684814,9.63198,-131.961609;656.409546,62.019875,-122.492706;656.409546,9.63198,-122.492706;656.409546,62.019875,-122.492706;656.409546,9.63198,-122.492706;641.134277,62.019875,-131.961609;641.134277,9.63198,-131.961609;641.134277,62.019875,-131.961609;641.134277,9.63198,-131.961609;671.684814,62.019875,-131.961609;671.684814,9.63198,-131.961609;671.684814,62.019875,-131.961609;656.409546,62.019875,-122.492706;641.134277,62.019875,-131.961609;671.684814,9.63198,-131.961609;656.409546,9.63198,-122.492706;641.134277,9.63198,-131.961609;
453.227753,-85.018539,-131.961609;453.227753,-137.406433,-131.961609;437.952484,-85.018539,-122.492706;437.952484,-137.406433,-122.492706;437.952484,-85.018539,-122.492706;437.952484,-137.406433,-122.492706;422.677185,-85.018539,-131.961609;422.677185,-137.406433,-131.961609;422.677185,-85.018539,-131.961609;422.677185,-137.406433,-131.961609;453.227753,-85.018539,-131.961609;453.227753,-137.406433,-131.961609;453.227753,-85.018539,-131.961609;437.952484,-85.018539,-122.492706;422.677185,-85.018539,-131.961609;453.227753,-137.406433,-131.961609;437.952484,-137.406433,-122.492706;422.677185,-137.406433,-131.961609;
413.759033,-85.018539,-131.961609;413.759033,-137.406433,-131.961609;398.483734,-85.018539,-122.492706;398.483734,-137.406433,-122.492706;398.483734,-85.018539,-122.492706;398.483734,-137.406433,-122.492706;383.208466,-85.018539,-131.961609;383.208466,-137.406433,-131.961609;383.208466,-85.018539,-131.961609;383.208466,-137.406433,-131.961609;413.759033,-85.018539,-131.961609;413.759033,-137.406433,-131.961609;413.759033,-85.018539,-131.961609;398.483734,-85.018539,-122.492706;383.208466,-85.018539,-131.961609;413.759033,-137.406433,-131.961609;398.483734,-137.406433,-122.492706;383.208466,-137.406433,-131.961609;
